fakegenie result
============> Sample SIG <============
       sig    0   161.152   34.2125%
      ccqe    1   40.9694   8.69776%
     cc1pi    2   212.952   45.2096%
   ccother    3   33.6964   7.15373%
        nc    4   3.45312  0.733095%
   numubar    5   18.2218   3.86846%
       nue    6  0.420647 0.0893029%
    ingrid    7 0.0573314 0.0121714%
      wall    8  0.110322 0.0234212%
Sample size 189243 vs 189243
============> Sample CRI <============
       sig    0   94.2368   5.50502%
      ccqe    1   527.071   30.7898%
     cc1pi    2   842.318   49.2056%
   ccother    3   171.935   10.0439%
        nc    4   22.4512   1.31153%
   numubar    5   40.7202   2.37875%
       nue    6   1.88694  0.110229%
    ingrid    7   4.95811  0.289637%
      wall    8   6.25679  0.365502%
